taz,geog_name,district,lat_1,lon_1
235,King County,North Seattle-Shoreline,47.51978,-122.138064
236,King County,North Seattle-Shoreline,47.51978,-122.138064
237,King County,North Seattle-Shoreline,47.51978,-122.138064
238,King County,North Seattle-Shoreline,47.51978,-122.138064
239,King County,North Seattle-Shoreline,47.51978,-122.138064
240,King County,North Seattle-Shoreline,47.51978,-122.138064
241,King County,North Seattle-Shoreline,47.51978,-122.138064
242,King County,North Seattle-Shoreline,47.51978,-122.138064
243,King County,North Seattle-Shoreline,47.51978,-122.138064
244,King County,North Seattle-Shoreline,47.51978,-122.138064
245,King County,North Seattle-Shoreline,47.51978,-122.138064
246,King County,North Seattle-Shoreline,47.51978,-122.138064
247,King County,North Seattle-Shoreline,47.51978,-122.138064
248,King County,North Seattle-Shoreline,47.51978,-122.138064
249,King County,North Seattle-Shoreline,47.51978,-122.138064
250,King County,North Seattle-Shoreline,47.51978,-122.138064
251,King County,North Seattle-Shoreline,47.51978,-122.138064
252,King County,North Seattle-Shoreline,47.51978,-122.138064
253,King County,North Seattle-Shoreline,47.51978,-122.138064
254,King County,North Seattle-Shoreline,47.51978,-122.138064
255,King County,North Seattle-Shoreline,47.51978,-122.138064
256,King County,North Seattle-Shoreline,47.51978,-122.138064
257,King County,North Seattle-Shoreline,47.51978,-122.138064
258,King County,North Seattle-Shoreline,47.51978,-122.138064
259,King County,North Seattle-Shoreline,47.51978,-122.138064
260,King County,North Seattle-Shoreline,47.51978,-122.138064
261,King County,North Seattle-Shoreline,47.51978,-122.138064
262,King County,North Seattle-Shoreline,47.51978,-122.138064
263,King County,North Seattle-Shoreline,47.51978,-122.138064
264,King County,North Seattle-Shoreline,47.51978,-122.138064
265,King County,North Seattle-Shoreline,47.51978,-122.138064
266,King County,North Seattle-Shoreline,47.51978,-122.138064
267,King County,North Seattle-Shoreline,47.51978,-122.138064
268,King County,North Seattle-Shoreline,47.51978,-122.138064
269,King County,North Seattle-Shoreline,47.51978,-122.138064
270,King County,North Seattle-Shoreline,47.51978,-122.138064
271,King County,North Seattle-Shoreline,47.51978,-122.138064
272,King County,North Seattle-Shoreline,47.51978,-122.138064
273,King County,North Seattle-Shoreline,47.51978,-122.138064
274,King County,North Seattle-Shoreline,47.51978,-122.138064
275,King County,North Seattle-Shoreline,47.51978,-122.138064
276,King County,North Seattle-Shoreline,47.51978,-122.138064
277,King County,North Seattle-Shoreline,47.51978,-122.138064
278,King County,North Seattle-Shoreline,47.51978,-122.138064
279,King County,North Seattle-Shoreline,47.51978,-122.138064
280,King County,North Seattle-Shoreline,47.51978,-122.138064
281,King County,North Seattle-Shoreline,47.51978,-122.138064
282,King County,North Seattle-Shoreline,47.51978,-122.138064
283,King County,North Seattle-Shoreline,47.51978,-122.138064
284,King County,North Seattle-Shoreline,47.51978,-122.138064
285,King County,North Seattle-Shoreline,47.51978,-122.138064
286,King County,North Seattle-Shoreline,47.51978,-122.138064
287,King County,North Seattle-Shoreline,47.51978,-122.138064
288,King County,North Seattle-Shoreline,47.51978,-122.138064
289,King County,North Seattle-Shoreline,47.51978,-122.138064
290,King County,North Seattle-Shoreline,47.51978,-122.138064
291,King County,North Seattle-Shoreline,47.51978,-122.138064
292,King County,North Seattle-Shoreline,47.51978,-122.138064
293,King County,North Seattle-Shoreline,47.51978,-122.138064
294,King County,North Seattle-Shoreline,47.51978,-122.138064
295,King County,North Seattle-Shoreline,47.51978,-122.138064
296,King County,North Seattle-Shoreline,47.51978,-122.138064
297,King County,North Seattle-Shoreline,47.51978,-122.138064
298,King County,North Seattle-Shoreline,47.51978,-122.138064
299,King County,North Seattle-Shoreline,47.51978,-122.138064
300,King County,North Seattle-Shoreline,47.51978,-122.138064
301,King County,North Seattle-Shoreline,47.51978,-122.138064
302,King County,North Seattle-Shoreline,47.51978,-122.138064
303,King County,North Seattle-Shoreline,47.51978,-122.138064
304,King County,North Seattle-Shoreline,47.51978,-122.138064
305,King County,North Seattle-Shoreline,47.51978,-122.138064
306,King County,North Seattle-Shoreline,47.51978,-122.138064
307,King County,North Seattle-Shoreline,47.51978,-122.138064
308,King County,North Seattle-Shoreline,47.51978,-122.138064
309,King County,North Seattle-Shoreline,47.51978,-122.138064
310,King County,North Seattle-Shoreline,47.51978,-122.138064
311,King County,North Seattle-Shoreline,47.51978,-122.138064
312,King County,North Seattle-Shoreline,47.51978,-122.138064
313,King County,North Seattle-Shoreline,47.51978,-122.138064
314,King County,North Seattle-Shoreline,47.51978,-122.138064
315,King County,North Seattle-Shoreline,47.51978,-122.138064
316,King County,North Seattle-Shoreline,47.51978,-122.138064
317,King County,North Seattle-Shoreline,47.51978,-122.138064
318,King County,North Seattle-Shoreline,47.51978,-122.138064
319,King County,North Seattle-Shoreline,47.51978,-122.138064
320,King County,North Seattle-Shoreline,47.51978,-122.138064
321,King County,North Seattle-Shoreline,47.51978,-122.138064
322,King County,North Seattle-Shoreline,47.51978,-122.138064
