id,Operator,RouteNumber,Mode,Description,Code
177,1,MK048,b,MK048a,MK
178,1,MK048,b,MK048b,MK
179,1,MK048,b,MK048c,MK
180,1,MK048,b,MK048d,MK
181,1,MK048,b,MK048e,MK
182,1,MK048,b,MK048f,MK
183,1,MK048,b,MK048g,MK
184,1,MK048,b,MK048h,MK
185,1,MK048,b,MK048i,MK
186,1,MK049,b,MK049a,MK
187,1,MK049,b,MK049b,MK
188,1,MK049,b,MK049c,MK
189,1,MK049,b,MK049d,MK
190,1,MK049,b,MK049e,MK
191,1,MK051,b,MK051a,MK
192,1,MK051,b,MK051b,MK
193,1,MK053,b,MK053a,MK
194,1,MK053,b,MK053b,MK
195,1,MK054,b,MK054a,MK
196,1,MK054,b,MK054b,MK
197,1,MK054,b,MK054c,MK
198,1,MK054,b,MK054d,MK
199,1,MK054,b,MK054e,MK
200,1,MK054,b,MK054f,MK
201,1,MK054,b,MK054g,MK
202,1,MK054,b,MK054h,MK
203,1,MK055,b,MK055a,MK
204,1,MK055,b,MK055b,MK
205,1,MK055,b,MK055c,MK
206,1,MK056,b,MK056a,MK
207,1,MK056,b,MK056b,MK
208,1,MK056,b,MK056c,MK
209,1,MK057,b,MK057a,MK
210,1,MK057,b,MK057b,MK
211,1,MK060,b,MK060a,MK
212,1,MK060,b,MK060b,MK
213,1,MK064,b,MK064a,MK
214,1,MK065,b,MK065a,MK
215,1,MK065,b,MK065b,MK
216,1,MK065,b,MK065c,MK
217,1,MK065,b,MK065d,MK
218,1,MK065,b,MK065e,MK
219,1,MK065,b,MK065f,MK
220,1,MK065,b,MK065g,MK
221,1,MK066,b,MK066a,MK
222,1,MK066,b,MK066b,MK
223,1,MK066,b,MK066c,MK
224,1,MK067,b,MK067a,MK
225,1,MK067,b,MK067b,MK
226,1,MK067,b,MK067c,MK
227,1,MK067,b,MK067d,MK
228,1,MK068,b,MK068a,MK
229,1,MK068,b,MK068b,MK
230,1,MK068,b,MK068c,MK
231,1,MK068,b,MK068d,MK
232,1,MK068,b,MK068e,MK
233,1,MK068,b,MK068f,MK
234,1,MK070,b,MK070a,MK
235,1,MK070,b,MK070b,MK
236,1,MK070,b,MK070c,MK
237,1,MK071,b,MK071a,MK
238,1,MK071,b,MK071b,MK
239,1,MK071,b,MK071c,MK
240,1,MK072,b,MK072a,MK
241,1,MK072,b,MK072b,MK
242,1,MK072,b,MK072c,MK
243,1,MK073,b,MK073a,MK
244,1,MK073,b,MK073b,MK
245,1,MK073,b,MK073c,MK
246,1,MK073,b,MK073d,MK
247,1,MK073,b,MK073e,MK
248,1,MK073,b,MK073f,MK
249,1,MK074,b,MK074a,MK
250,1,MK075,b,MK075a,MK
251,1,MK075,b,MK075b,MK
252,1,MK075,b,MK075c,MK
253,1,MK075,b,MK075d,MK
254,1,MK075,b,MK075e,MK
255,1,MK075,b,MK075f,MK
256,1,MK076,b,MK076a,MK
257,1,MK077,b,MK077a,MK
258,1,MK079,b,MK079a,MK
259,1,MK098,b,MK098a,MK
260,1,MK098,b,MK098b,MK
261,1,MK099,b,MK099a,MK
262,1,MK099,b,MK099b,MK
263,1,MK101,b,MK101a,MK
264,1,MK101,b,MK101b,MK
265,1,MK101,b,MK101c,MK
266,1,MK101,b,MK101d,MK
267,1,MK101,b,MK101e,MK
268,1,MK102,b,MK102a,MK
269,1,MK105,b,MK105a,MK
270,1,MK105,b,MK105b,MK
