taz_p,rg_proposed
1333,HCT
1334,Core
1335,HCT
1336,Core
1337,Core
1338,Core
1339,Core
1340,Core
1341,Core
1342,Core
1343,Core
1344,Core
1345,Core
1346,Core
1347,Core
1348,Core
1349,Core
1350,Core
1351,Core
1352,Core
1353,Core
1354,Core
1355,Core
1356,Core
1357,Core
1358,Core
1359,Core
1360,Core
1361,Core
1362,Core
1363,HCT
1364,Core
1365,Core
1366,Rural
1367,HCT
1368,Core
1369,Core
1370,HCT
1371,HCT
1372,Rural
1373,Rural
1374,Rural
1375,Rural
1376,Rural
1377,Rural
1378,Rural
1379,Rural
1380,Rural
1381,Rural
1382,Rural
1383,Rural
1384,Rural
1385,Rural
1386,Rural
1387,Core
1388,Rural
1389,Rural
1390,Core
1391,Core
1392,Core
1393,Core
1394,Core
1395,Core
1396,Core
1397,Core
1398,Core
1399,Core
1400,Core
1401,Core
1402,Core
1403,Core
1404,Core
1405,Core
1406,Core
1407,Core
1408,Core
1409,Core
1410,Core
1411,Core
1412,Core
1413,Core
1414,Core
1415,Core
1416,Core
1417,Core
1418,HCT
1419,HCT
1420,Metro
1421,HCT
1422,HCT
1423,HCT
1424,Metro
1425,HCT
1426,HCT
1427,HCT
1428,HCT
1429,HCT
1430,Metro
1431,Metro
1432,UU
1433,Core
1434,Core
1435,Core
1436,Core
1437,Core
1438,Core
1439,Core
1440,Core
1441,Core
1442,Core
1443,Core
1444,Core
1445,Core
1446,Core
1447,Core
1448,Core
1449,UU
1450,Core
1451,Metro
1452,Metro
1453,Metro
1454,Metro
1455,Metro
1456,Metro
1457,Metro
1458,Metro
1459,Metro
1460,Metro
1461,Metro
1462,Metro
1463,Metro
1464,Metro
1465,Metro
1466,Metro
1467,Metro
1468,Metro
1469,Metro
1470,Metro
1471,Metro
1472,Metro
1473,Metro
1474,Metro
1475,Metro
1476,Metro
1477,Metro
1478,Metro
1479,Metro
1480,HCT
1481,HCT
1482,HCT
1483,HCT
1484,HCT
1485,HCT
1486,HCT
1487,HCT
1488,HCT
1489,HCT
1490,HCT
1491,HCT
1492,HCT
1493,HCT
1494,HCT
1495,HCT
1496,HCT
1497,HCT
1498,HCT
1499,Metro
1500,Metro
1501,Metro
1502,Metro
1503,Metro
1504,Metro
1505,Metro
1506,Metro
1507,Metro
1508,Metro
1509,Metro
1510,Metro
1511,Metro
1512,Metro
1513,Metro
1514,Metro
1515,Metro
1516,Metro
1517,Metro
1518,Core
1519,Metro
1520,Metro
1521,Metro
1522,Metro
1523,Metro
1524,Metro
1525,Metro
1526,Metro
1527,Metro
1528,Metro
1529,Metro
1530,Metro
1531,Metro
1532,Metro
1533,Metro
1534,Metro
1535,Metro
1536,Metro
1537,Metro
1538,Metro
1539,Metro
1540,Metro
1541,CitiesTowns
1542,CitiesTowns
1543,Metro
1544,Metro
1545,Metro
1546,Metro
1547,Metro
1548,Metro
1549,Metro
1550,Metro
1551,Metro
1552,Metro
1553,Metro
1554,Metro
1555,Metro
1556,Metro
1557,Metro
1558,Metro
1559,Metro
1560,Metro
1561,Metro
1562,Metro
1563,Metro
1564,Metro
1565,Metro
1566,Metro
1567,Metro
1568,Metro
1569,Metro
1570,Metro
1571,Metro
1572,Metro
1573,Metro
1574,Core
1575,Metro
1576,Metro
1577,Metro
1578,Metro
1579,Core
1580,Metro
1581,Metro
1582,Metro
1583,Metro
1584,Metro
1585,Metro
1586,Metro
1587,Metro
1588,Metro
1589,Metro
1590,Metro
1591,Metro
1592,CitiesTowns
1593,Metro
1594,CitiesTowns
1595,CitiesTowns
1596,CitiesTowns
1597,CitiesTowns
1598,CitiesTowns
1599,CitiesTowns
1600,CitiesTowns
1601,CitiesTowns
1602,Metro
1603,Core
1604,Metro
1605,Metro
1606,Metro
1607,Metro
1608,Metro
1609,Metro
1610,Metro
1611,Metro
1612,Core
1613,Core
1614,Metro
1615,Core
1616,Core
1617,Core
1618,Metro
1619,Metro
1620,Core
1621,Core
1622,Core
1623,Core
1624,Core
1625,Core
1626,Core
1627,Core
1628,Core
1629,Core
1630,Metro
1631,Metro
1632,Core
1633,Core
1634,Core
1635,Core
1636,Core
1637,Core
1638,Core
1639,Core
1640,Core
1641,Core
1642,Core
1643,Core
1644,Core
1645,Core
1646,Core
1647,Core
1648,UU
1649,Core
1650,Core
1651,Core
1652,Core
1653,Core
1654,Core
1655,Core
1656,Core
1657,Core
1658,Core
1659,Core
1660,Core
1661,Core
1662,Core
1663,Core
1664,Core
1665,Core
1666,Core
1667,Core
1668,Core
1669,Core
1670,Core
1671,Core
1672,Core
1673,Core
1674,Core
1675,Core
1676,Core
1677,Core
1678,Core
1679,Core
1680,Core
1681,Core
1682,Core
1683,Core
1684,Core
1685,Core
1686,Core
1687,Core
1688,Core
1689,Core
1690,Core
1691,Core
1692,Core
1693,Core
1694,Core
1695,Core
1696,Core
1697,Core
1698,Core
1699,Core
1700,Core
1701,Core
1702,Core
1703,Core
1704,Core
1705,Core
1706,Core
1707,Core
1708,Core
1709,Core
1710,Core
1711,Rural
1712,Core
1713,Core
1714,Core
1715,Core
1716,Core
1717,Core
1718,Core
1719,Core
1720,Core
1721,Core
1722,Core
1723,Core
1724,Core
1725,Core
1726,Core
1727,Core
1728,Core
1729,Core
1730,Core
1731,Core
1732,Core
1733,Core
1734,Core
1735,Core
1736,Core
1737,Core
1738,CitiesTowns
1739,CitiesTowns
1740,Rural
1741,UU
1742,Rural
1743,UU
1744,Rural
1745,Rural
1746,Rural
1747,CitiesTowns
1748,Core
1749,Core
1750,Core
1751,Core
1752,Core
1753,Core
1754,HCT
1755,HCT
1756,Core
1757,HCT
1758,HCT
1759,HCT
1760,HCT
1761,HCT
1762,HCT
1763,HCT
1764,HCT
1765,Core
1766,Core
1767,Core
1768,Core
1769,Core
1770,Core
1771,Core
1772,Core
1773,Core
1774,Core
1775,Core
1776,Core
1777,CitiesTowns
1778,CitiesTowns
1779,CitiesTowns
1780,Rural
1781,CitiesTowns
1782,Rural
1783,CitiesTowns
1784,Rural
1785,Rural
1786,Rural
1787,Rural
1788,Rural
1789,Rural
1790,Rural
1791,CitiesTowns
1792,CitiesTowns
1793,CitiesTowns
1794,CitiesTowns
1795,Core
1796,Core
1797,Core
1798,Core
1799,Core
1800,Core
1801,Core
1802,Core
1803,Core
1804,Core
1805,Core
1806,Core
1807,HCT
1808,Core
1809,HCT
1810,HCT
1811,HCT
1812,HCT
1813,HCT
1814,HCT
1815,HCT
1816,HCT
1817,HCT
1818,HCT
1819,HCT
1820,HCT
1821,HCT
1822,HCT
1823,HCT
1824,HCT
1825,HCT
1826,HCT
1827,HCT
1828,HCT
1829,HCT
1830,HCT
1831,HCT
1832,HCT
1833,HCT
1834,HCT
1835,HCT
1836,HCT
1837,HCT
1838,HCT
1839,HCT
1840,HCT
1841,HCT
1842,HCT
1843,HCT
1844,HCT
1845,HCT
1846,HCT
1847,HCT
1848,HCT
1849,HCT
1850,HCT
1851,HCT
1852,HCT
1853,HCT
1854,HCT
1855,HCT
1856,HCT
1857,HCT
1858,HCT
1859,HCT
1860,HCT
1861,HCT
1862,HCT
1863,HCT
1864,HCT
1865,HCT
1866,HCT
1867,HCT
1868,HCT
1869,HCT
1870,HCT
1871,HCT
1872,HCT
1873,HCT
1874,HCT
1875,HCT
1876,HCT
1877,HCT
1878,HCT
1879,HCT
1880,HCT
1881,HCT
1882,HCT
1883,Rural
1884,Rural
1885,Rural
1886,Rural
1887,Rural
1888,Rural
1889,Rural
1890,Rural
1891,Rural
1892,Rural
1893,CitiesTowns
1894,Rural
1895,Rural
1896,Rural
1897,CitiesTowns
