id,6to7_board,6to7_time,7to8_board,7to8_time,8to9_board,8to9_time
207,40.85100174,31.62031364,43.74151993,31.96244621,25.69239807,31.81285477
208,68.22764587,26.17815399,71.13685608,28.55690193,53.91518021,26.84797096
209,7.993089676,38.34882355,10.01656246,39.85092163,8.400488853,38.79912186
210,32.29143143,40.12190247,40.56367493,41.63064194,33.89339447,40.57367325
211,88.19377136,60.30502319,127.2894058,61.63660431,96.87527466,60.96669388
212,65.80516052,58.21629333,76.94509125,59.09111786,87.68930054,58.8038559
213,113.2042999,48.76134872,122.7606125,49.76122284,83.57468414,49.24823761
214,32.11417389,34.89999771,40.55846405,35.45498657,25.7156868,35.26020432
215,38.8540802,35.25450516,49.67601776,35.8164711,30.81141281,35.61600876
216,4.399405956,24.78137779,6.289625168,24.99925613,4.137473583,24.93880463
217,5.799508095,39.61434174,5.631005287,40.55550766,5.84869957,40.14700699
218,28.99753761,39.0174675,28.15501976,39.95580673,29.24349403,39.54872513
219,5.794288635,36.21037674,5.561025143,36.97306442,5.765366554,36.61804199
220,5.794288635,35.00270844,5.561025143,35.75724411,5.765366554,35.40642929
221,69.64824677,44.96601486,99.90458679,45.81297302,75.17262268,45.31204605
222,56.61382675,39.52365494,72.24295044,39.85572815,59.54361725,39.70626068
223,42.46037292,39.52365494,54.18222046,39.85572815,44.65771866,39.70626068
224,14.38099957,20.39017296,25.08542252,20.95811653,18.12932587,20.60655022
225,9.650098801,26.88305664,13.33943081,27.09310341,10.36957073,27.01366425
226,18.04398346,20.11220932,25.72781181,20.31839752,20.42472267,20.24043465
227,9.02199173,19.63770294,12.86390591,19.84388924,10.21236134,19.76592636
228,31.4367218,31.31899261,34.89417267,31.78342056,26.91135025,31.63092804
229,6.203473568,31.06899452,6.978834629,31.53342056,5.382270336,31.38092613
230,6.208483696,30.60248947,6.578072071,31.05993652,5.319195271,30.91312218
231,3.905034304,26.78679657,4.555375576,27.23726463,3.046089411,27.09613037
