,i,j,ij_id,CountID,Location,LocationDetail,FacilityType,observedTot,observedMed,observedHvy,LARGE_AREA,county,lat,lon
264,178767,178758,178767-178758,116,224 ST E,E/O 90 AV E,6,1151,1043,108,Pierce Other,Pierce,47.05327457,-122.3120745
265,178820,178832,178820-178832,117,224 ST E,W/O ORTING KAPOWSIN HY,6,628.6666667,583,45,Pierce Other,Pierce,47.05267907,-122.257921
266,178832,178820,178832-178820,117,224 ST E,W/O ORTING KAPOWSIN HY,6,628.6666667,583,45,Pierce Other,Pierce,47.05267907,-122.257921
267,178727,178749,178727-178749,118,224 ST E ,E/O 70 AV E,6,1066,962,104,Pierce Other,Pierce,47.05338058,-122.3306106
268,178749,178727,178749-178727,118,224 ST E ,E/O 70 AV E,6,1066,962,104,Pierce Other,Pierce,47.05338058,-122.3306106
269,178703,178717,178703-178717,119,224 ST E ,W/O 38 AV E,6,1074,979,96,Pierce Other,Pierce,47.0532223,-122.3845934
270,178717,178703,178717-178703,119,224 ST E ,W/O 38 AV E,6,1074,979,96,Pierce Other,Pierce,47.0532223,-122.3845934
271,181046,181067,181046-181067,120,304 ST E,W/O 8 AV E,6,148,117,32,Pierce Other,Pierce,46.98061419,-122.4323043
272,181067,181046,181067-181046,120,304 ST E,W/O 8 AV E,6,148,117,32,Pierce Other,Pierce,46.98061419,-122.4323043
273,156684,156712,156684-156712,121,52 ST E,W/O 66 AV E,3,450,383,67,Pierce Other,Pierce,47.20985872,-122.3451482
274,156712,156684,156712-156684,121,52 ST E,W/O 66 AV E,3,450,383,67,Pierce Other,Pierce,47.20985872,-122.3451482
275,181516,182028,181516-182028,122,56 AV S,N/O SR-705,6,72,67,5,Pierce Other,Pierce,46.9465969,-122.3574824
276,182028,181516,182028-181516,122,56 AV S,N/O SR-705,6,72,67,5,Pierce Other,Pierce,46.9465969,-122.3574824
277,156075,156712,156075-156712,123,66 AV E,S/O SR-167,3,653,569,84,Pierce Other,Pierce,47.21170312,-122.3419663
278,156712,156075,156712-156075,123,66 AV E,S/O SR-167,3,653,569,84,Pierce Other,Pierce,47.21170312,-122.3419663
279,180062,180258,180062-180258,124,70 AV E,S/O 260 ST E,6,138,133,5,Pierce Other,Pierce,47.0148153,-122.3349266
280,180258,180062,180258-180062,124,70 AV E,S/O 260 ST E,6,138,133,5,Pierce Other,Pierce,47.0148153,-122.3349266
281,175779,176845,175779-176845,125,78 AV E,S/O 176 ST E,3,521,488,33,Pierce Other,Pierce,47.09029985,-122.3256097
282,176845,175779,176845-175779,125,78 AV E,S/O 176 ST E,3,521,488,33,Pierce Other,Pierce,47.09029985,-122.3256097
283,176995,177255,176995-177255,126,78 AV E,S/O 192 ST E,3,416,378,38,Pierce Other,Pierce,47.08002611,-122.3257008
284,177255,176995,177255-176995,126,78 AV E,S/O 192 ST E,3,416,378,38,Pierce Other,Pierce,47.08002611,-122.3257008
285,181067,181439,181067-181439,127,8 AV S,S/O 304 ST S,6,324,252,72,Pierce Other,Pierce,46.97058158,-122.4215856
286,181439,181067,181439-181067,127,8 AV S,S/O 304 ST S,6,324,252,72,Pierce Other,Pierce,46.97058158,-122.4215856
287,150777,151240,150777-151240,128,9 ST E,W/0 198 AV E,6,664,626,38,Pierce Other,Pierce,47.24793235,-122.1709821
288,151240,150777,151240-150777,128,9 ST E,W/0 198 AV E,6,664,626,38,Pierce Other,Pierce,47.24793235,-122.1709821
289,171286,172091,171286-172091,129,94 AV E,S/O 136 ST E,3,790,717,73,Pierce Other,Pierce,47.12931197,-122.303963
290,172091,171286,172091-171286,129,94 AV E,S/O 136 ST E,3,790,717,73,Pierce Other,Pierce,47.12931197,-122.303963
291,172091,172465,172091-172465,130,94 AV E,S/O 144 ST E,3,464,419,45,Pierce Other,Pierce,47.12422952,-122.3039608
292,172465,172091,172465-172091,130,94 AV E,S/O 144 ST E,3,464,419,45,Pierce Other,Pierce,47.12422952,-122.3039608
293,182929,183064,182929-183064,131,ALDER-CUTTOFF,S/O MASHELL RIVER,6,458,331,127,Pierce Other,Pierce,46.83514745,-122.259674
294,183064,182929,183064-182929,131,ALDER-CUTTOFF,S/O MASHELL RIVER,6,458,331,127,Pierce Other,Pierce,46.83514745,-122.259674
295,182105,182418,182105-182418,132,ALLEN RD S,37600 BLOCK,6,16,16,0,Pierce Other,Pierce,46.91893077,-122.478882
296,182418,182105,182418-182105,132,ALLEN RD S,37600 BLOCK,6,16,16,0,Pierce Other,Pierce,46.91893077,-122.478882
297,172947,173171,172947-173171,133,BROOKEDALE ST E,SE/O 152 ST E,3,748.3333333,666,82,Pierce Other,Pierce,47.11744717,-122.374483
298,173171,172947,173171-172947,133,BROOKEDALE ST E,SE/O 152 ST E,3,748.3333333,666,82,Pierce Other,Pierce,47.11744717,-122.374483
299,168080,168704,168080-168704,134,C ST S,N/O 117 ST S,3,339,294,45,Pierce Other,Pierce,47.14935369,-122.4370229
300,168704,168080,168704-168080,134,C ST S,N/O 117 ST S,3,339,294,45,Pierce Other,Pierce,47.14935369,-122.4370229
301,176059,176425,176059-176425,135,CANYON RD E,N/O 184 ST E,3,2007,1366,641,Pierce Other,Pierce,47.09121854,-122.3573604
302,176425,176059,176425-176059,135,CANYON RD E,N/O 184 ST E,3,2007,1366,641,Pierce Other,Pierce,47.09121854,-122.3573604
303,176976,177510,176976-177510,136,CANYON RD E,S/O 192 ST E,3,1433,1068,365,Pierce Other,Pierce,47.07824635,-122.3585798
304,177510,176976,177510-176976,136,CANYON RD E,S/O 192 ST E,3,1433,1068,365,Pierce Other,Pierce,47.07824635,-122.3585798
305,163248,164275,163248-164275,137,CANYON RD E ,N/O 96 ST E,3,1368.333333,1055,313,Pierce Other,Pierce,47.17276,-122.3571015
306,164275,163248,164275-163248,137,CANYON RD E ,N/O 96 ST E,3,1368.333333,1055,313,Pierce Other,Pierce,47.17276,-122.3571015
307,157574,160244,157574-160244,138,CANYON RD E ,SE/O PIONEER WY E,3,940,718,222,Pierce Other,Pierce,47.1984833,-122.3580993
308,160244,157574,160244-157574,138,CANYON RD E ,SE/O PIONEER WY E,3,940,718,222,Pierce Other,Pierce,47.1984833,-122.3580993
309,131157,132588,131157-132588,139,CRESCENT VALLEY RD,N/O 96 ST NW,6,243,226,17,Peninsula,Pierce,47.34963811,-122.5785146
310,132588,131157,132588-131157,139,CRESCENT VALLEY RD,N/O 96 ST NW,6,243,226,17,Peninsula,Pierce,47.34963811,-122.5785146
311,182029,182349,182029-182349,140,EATONVILLE CUTOFF,SE/O 352 ST E,6,475,400,76,Pierce Other,Pierce,46.92777899,-122.339439
312,182349,182029,182349-182029,140,EATONVILLE CUTOFF,SE/O 352 ST E,6,475,400,76,Pierce Other,Pierce,46.92777899,-122.339439
313,167097,167392,167097-167392,141,GOLDEN GIVEN RD E,N/O 112 ST E,3,377.5,342,36,Pierce Other,Pierce,47.1559184,-122.4154311
314,167392,167097,167392-167097,141,GOLDEN GIVEN RD E,N/O 112 ST E,3,377.5,342,36,Pierce Other,Pierce,47.1559184,-122.4154311
315,125665,126463,125665-126463,142,GOODNOUGH DR ,E/O S END 302 SPUR,6,255.6666667,220,36,Peninsula,Pierce,47.38026717,-122.6230119
316,126463,125665,126463-125665,142,GOODNOUGH DR ,E/O S END 302 SPUR,6,255.6666667,220,36,Peninsula,Pierce,47.38026717,-122.6230119
317,181878,182348,181878-182348,143,HARTS LK RD S,SE/O SR-702,6,186,143,44,Pierce Other,Pierce,46.92711604,-122.5233531
318,182348,181878,182348-181878,143,HARTS LK RD S,SE/O SR-702,6,186,143,44,Pierce Other,Pierce,46.92711604,-122.5233531
