TAZ,District,County,SeattleOrNot
932,6,King,Not Seattle
933,6,King,Not Seattle
934,6,King,Not Seattle
935,6,King,Not Seattle
936,6,King,Not Seattle
937,6,King,Not Seattle
938,6,King,Not Seattle
939,6,King,Not Seattle
940,6,King,Not Seattle
941,6,King,Not Seattle
942,6,King,Not Seattle
943,6,King,Not Seattle
944,6,King,Not Seattle
945,6,King,Not Seattle
946,6,King,Not Seattle
947,6,King,Not Seattle
948,6,King,Not Seattle
949,6,King,Not Seattle
950,6,King,Not Seattle
951,6,King,Not Seattle
952,6,King,Not Seattle
953,6,King,Not Seattle
954,6,King,Not Seattle
955,6,King,Not Seattle
956,6,King,Not Seattle
957,6,King,Not Seattle
958,6,King,Not Seattle
959,6,King,Not Seattle
960,6,King,Not Seattle
961,6,King,Not Seattle
962,6,King,Not Seattle
963,6,King,Not Seattle
964,6,King,Not Seattle
965,6,King,Not Seattle
966,6,King,Not Seattle
967,6,King,Not Seattle
968,6,King,Not Seattle
969,6,King,Not Seattle
970,6,King,Not Seattle
971,6,King,Not Seattle
972,6,King,Not Seattle
973,6,King,Not Seattle
974,6,King,Not Seattle
975,6,King,Not Seattle
976,5,King,Not Seattle
977,5,King,Not Seattle
978,6,King,Not Seattle
979,6,King,Not Seattle
980,6,King,Not Seattle
981,6,King,Not Seattle
982,6,King,Not Seattle
983,6,King,Not Seattle
984,6,King,Not Seattle
985,6,King,Not Seattle
986,6,King,Not Seattle
987,6,King,Not Seattle
988,6,King,Not Seattle
989,6,King,Not Seattle
990,6,King,Not Seattle
991,6,King,Not Seattle
992,6,King,Not Seattle
993,6,King,Not Seattle
994,6,King,Not Seattle
995,6,King,Not Seattle
996,6,King,Not Seattle
997,6,King,Not Seattle
998,6,King,Not Seattle
999,6,King,Not Seattle
1000,6,King,Not Seattle
1001,6,King,Not Seattle
1002,6,King,Not Seattle
1003,6,King,Not Seattle
1004,6,King,Not Seattle
1005,6,King,Not Seattle
1006,6,King,Not Seattle
1007,6,King,Not Seattle
1008,6,King,Not Seattle
1009,6,King,Not Seattle
1010,6,King,Not Seattle
1011,6,King,Not Seattle
1012,6,King,Not Seattle
1013,6,King,Not Seattle
1014,6,King,Not Seattle
1015,5,King,Not Seattle
1016,5,King,Not Seattle
1017,5,King,Not Seattle
1018,5,King,Not Seattle
1019,5,King,Not Seattle
1020,5,King,Not Seattle
1021,5,King,Not Seattle
1022,5,King,Not Seattle
1023,5,King,Not Seattle
1024,5,King,Not Seattle
1025,5,King,Not Seattle
1026,5,King,Not Seattle
1027,5,King,Not Seattle
1028,5,King,Not Seattle
1029,6,King,Not Seattle
1030,6,King,Not Seattle
1031,6,King,Not Seattle
1032,6,King,Not Seattle
1033,6,King,Not Seattle
1034,6,King,Not Seattle
1035,6,King,Not Seattle
1036,6,King,Not Seattle
1037,6,King,Not Seattle
1038,6,King,Not Seattle
1039,6,King,Not Seattle
1040,6,King,Not Seattle
1041,6,King,Not Seattle
1042,6,King,Not Seattle
1043,5,King,Not Seattle
1044,5,King,Not Seattle
1045,5,King,Not Seattle
1046,5,King,Not Seattle
1047,5,King,Not Seattle
1048,5,King,Not Seattle
1049,5,King,Not Seattle
1050,5,King,Not Seattle
1051,5,King,Not Seattle
1052,5,King,Not Seattle
1053,5,King,Not Seattle
1054,5,King,Not Seattle
1055,5,King,Not Seattle
1056,5,King,Not Seattle
1057,5,King,Not Seattle
1058,5,King,Not Seattle
1059,5,King,Not Seattle
1060,4,King,Not Seattle
1061,4,King,Not Seattle
1062,4,King,Not Seattle
1063,4,King,Not Seattle
1064,4,King,Not Seattle
1065,4,King,Not Seattle
1066,4,King,Not Seattle
1067,4,King,Not Seattle
1068,4,King,Not Seattle
1069,4,King,Not Seattle
1070,4,King,Not Seattle
1071,4,King,Not Seattle
1072,5,King,Not Seattle
1073,5,King,Not Seattle
1074,5,King,Not Seattle
1075,4,King,Not Seattle
1076,4,King,Not Seattle
1077,4,King,Not Seattle
1078,4,King,Not Seattle
1079,4,King,Not Seattle
1080,4,King,Not Seattle
1081,4,King,Not Seattle
1082,4,King,Not Seattle
1083,4,King,Not Seattle
1084,4,King,Not Seattle
1085,4,King,Not Seattle
1086,4,King,Not Seattle
1087,4,King,Not Seattle
1088,4,King,Not Seattle
1089,4,King,Not Seattle
1090,4,King,Not Seattle
