vehicle_type,body_type,fuel_type,vehicle_year,NumMakes,NumModels,MPG,Range,NewPrice,auto_operating_cost,co2gpm
Pickup_10_Diesel,Pickup,Diesel,2016,3,7,23.6,614,32930.53,24.85,434.71
Pickup_11_Diesel,Pickup,Diesel,2015,1,3,23.0,598,31284.01,25.22,443.67
Pickup_12_Diesel,Pickup,Diesel,2014,1,2,22.5,585,29719.8,25.56,450.5
Pickup_13_Diesel,Pickup,Diesel,2013,0,0,21.0,546,28233.81,26.7,483.72
Pickup_14_Diesel,Pickup,Diesel,2012,0,0,21.5,559,26822.12,26.29,472.43
Pickup_15_Diesel,Pickup,Diesel,2011,1,1,20.0,520,25481.02,27.5,509.0
Pickup_16_Diesel,Pickup,Diesel,2010,0,0,21.3,554,24206.97,26.45,477.25
Pickup_17_Diesel,Pickup,Diesel,2009,0,0,20.9,543,22996.62,26.77,485.49
Pickup_18_Diesel,Pickup,Diesel,2008,0,0,20.2,525,21846.79,27.36,505.06
Pickup_19_Diesel,Pickup,Diesel,2007,0,0,20.0,520,20754.45,27.48,506.68
Pickup_0_Gas,Pickup,Gas,2026,8,63,18.6,484,50000.0,28.86,490.28
Pickup_1_Gas,Pickup,Gas,2025,8,45,18.4,478,47500.0,29.07,491.84
Pickup_2_Gas,Pickup,Gas,2024,8,48,18.4,478,45125.0,29.06,492.6
Pickup_3_Gas,Pickup,Gas,2023,8,49,18.5,481,42868.75,28.92,487.56
Pickup_4_Gas,Pickup,Gas,2022,8,41,18.1,471,40725.31,29.33,499.01
Pickup_5_Gas,Pickup,Gas,2021,8,38,18.1,471,38689.05,29.3,496.94
Pickup_6_Gas,Pickup,Gas,2020,9,39,18.5,481,36754.59,28.96,486.94
Pickup_7_Gas,Pickup,Gas,2019,8,56,18.5,481,34916.86,28.93,486.34
Pickup_8_Gas,Pickup,Gas,2018,8,45,18.7,486,33171.02,28.76,483.67
Pickup_9_Gas,Pickup,Gas,2017,8,41,18.5,481,31512.47,28.89,488.67
Pickup_10_Gas,Pickup,Gas,2016,7,30,18.5,481,29936.85,28.93,488.18
Pickup_11_Gas,Pickup,Gas,2015,6,24,18.6,484,28440.0,28.84,485.79
Pickup_12_Gas,Pickup,Gas,2014,8,22,17.1,445,27018.0,30.46,531.12
Pickup_13_Gas,Pickup,Gas,2013,7,25,16.9,439,25667.1,30.71,532.93
Pickup_14_Gas,Pickup,Gas,2012,8,38,17.3,450,24383.75,30.2,520.49
Pickup_15_Gas,Pickup,Gas,2011,8,44,17.3,450,23164.56,30.26,522.85
Pickup_16_Gas,Pickup,Gas,2010,10,47,17.2,447,22006.33,30.4,525.8
Pickup_17_Gas,Pickup,Gas,2009,11,50,16.8,437,20906.02,30.79,534.88
Pickup_18_Gas,Pickup,Gas,2008,14,66,16.3,424,19860.72,31.53,556.44
Pickup_19_Gas,Pickup,Gas,2007,12,62,16.1,419,18867.68,31.67,558.22
Pickup_0_Hybrid,Pickup,Hybrid,2026,3,13,23.9,621,57500.0,24.66,392.94
Pickup_1_Hybrid,Pickup,Hybrid,2025,3,10,24.6,640,54625.0,24.21,377.55
Pickup_2_Hybrid,Pickup,Hybrid,2024,3,9,22.3,580,51893.75,25.72,408.27
Pickup_3_Hybrid,Pickup,Hybrid,2023,3,9,22.8,593,49299.06,25.34,399.73
Pickup_4_Hybrid,Pickup,Hybrid,2022,3,9,22.8,593,46834.11,25.34,400.45
Pickup_5_Hybrid,Pickup,Hybrid,2021,2,5,21.9,569,44492.4,26.01,410.57
Pickup_6_Hybrid,Pickup,Hybrid,2020,1,3,20.8,541,42267.78,26.83,432.0
Pickup_7_Hybrid,Pickup,Hybrid,2019,1,3,20.8,541,40154.39,26.83,432.0
Pickup_8_Hybrid,Pickup,Hybrid,2018,2,4,19.0,494,38146.67,28.42,468.5
Pickup_9_Hybrid,Pickup,Hybrid,2017,2,4,19.0,494,36239.34,28.42,467.5
Pickup_10_Hybrid,Pickup,Hybrid,2016,2,4,19.0,494,34427.37,28.42,468.0
Pickup_11_Hybrid,Pickup,Hybrid,2015,0,0,25.3,658,32706.01,23.85,368.29
Pickup_12_Hybrid,Pickup,Hybrid,2014,0,0,23.3,606,31070.71,25.04,402.66
Pickup_13_Hybrid,Pickup,Hybrid,2013,2,4,21.0,546,29517.17,26.67,420.5
Pickup_14_Hybrid,Pickup,Hybrid,2012,2,4,21.0,546,28041.31,26.67,423.19
Pickup_15_Hybrid,Pickup,Hybrid,2011,2,4,21.0,546,26639.25,26.67,423.19
Pickup_16_Hybrid,Pickup,Hybrid,2010,2,4,21.5,559,25307.28,26.28,413.57
Pickup_17_Hybrid,Pickup,Hybrid,2009,2,4,20.5,533,24041.92,27.07,433.77
Pickup_18_Hybrid,Pickup,Hybrid,2008,0,0,22.1,575,22839.82,25.82,421.85
Pickup_19_Hybrid,Pickup,Hybrid,2007,2,4,16.5,429,21697.83,31.21,539.1
Pickup_0_PEV,Pickup,PEV,2026,0,0,24.6,640,62500.0,24.24,195.77
Pickup_1_PEV,Pickup,PEV,2025,0,0,24.3,632,59375.0,24.4,196.39
Pickup_2_PEV,Pickup,PEV,2024,0,0,24.3,632,56406.25,24.39,196.69
Pickup_3_PEV,Pickup,PEV,2023,0,0,24.5,637,53585.94,24.28,194.68
Pickup_4_PEV,Pickup,PEV,2022,0,0,24.0,624,50906.64,24.59,199.25
Pickup_5_PEV,Pickup,PEV,2021,0,0,24.0,624,48361.31,24.57,198.43
Pickup_6_PEV,Pickup,PEV,2020,0,0,24.5,637,45943.24,24.31,194.44
Pickup_7_PEV,Pickup,PEV,2019,0,0,24.5,637,43646.08,24.29,194.19
Pickup_8_PEV,Pickup,PEV,2018,0,0,24.7,642,41463.78,24.16,193.13
